province,thai_name,i1998,i2000,i2002,i2004,i2006,i2007,i2009,i2011,i2013,i2015,d1998,d2000,d2002,d2004,d2006,d2007,d2009,d2011,d2013,d2015
Mukdahan,มุกดาหาร,9890,9485,9236,9284,13497,13406,17370,19048,16494,22870,85211,118170,66520,89132,132063,115677,129737,182411,123125,184067
Southern Region,ภาคใต้,11461,11186,12487,14469,18668,19716,22926,27326,27504,26286,53685,54136,76124,92126,114179,118525,127220,110723,139931,163892
Nakhon Si Thammarat,นครศรีธรรมราช,11196,10789,12317,14079,17377,18087,23296,29970,27479,25124,58872,54589,84791,104706,107541,104004,167985,89625,123678,164476
Krabi,กระบี่,11986,9928,13318,16877,18446,18852,23647,33350,27276,31012,77602,83721,105405,201625,156798,182167,219674,177495,168946,373325
Phangnga,พังงา,7650,10217,12428,16965,29617,22211,22356,24470,26168,28842,46027,28375,22316,47684,87955,106854,56697,82728,123376,164167
Phuket,ภูเก็ต,19313,20702,26363,25082,25630,25084,28515,26048,31857,31500,88589,40676,135782,71471,72379,82362,80201,71829,91904,135376
Surat Thani,สุราษฎร์ธานี,11967,10800,14056,16150,21747,26207,30604,34417,36865,36466,37067,57404,112502,87113,125727,142231,188247,144725,198998,219065
Ranong,ระนอง,9033,9410,10765,14328,18679,21620,19274,26049,32292,22035,35073,49894,91400,81812,92274,157317,102741,161420,180869,106994
Chumphon,ชุมพร,10232,10454,10922,11482,17232,19003,25179,28022,27540,29306,80471,98332,87802,90195,116327,127313,124643,130164,197459,199746
Songkhla,สงขลา,15057,13505,14192,15481,22093,22342,27356,26711,26824,27660,54478,36969,75200,58636,174109,142526,115079,107472,161526,172272
Satun,สตูล,8924,9711,12702,11826,14307,17328,20695,21047,25400,23209,19845,72649,56518,82046,69314,116896,183123,101355,155314,145458
Trang,ตรัง,12973,12782,14332,17038,20801,23650,21992,36245,33270,23309,71215,51369,63839,193424,133375,178839,132883,154678,160207,131873
Phattalung,พัทลุง,12315,11550,10820,14985,18045,18670,19381,25202,26169,21478,66378,92554,80867,89967,117631,129637,140417,169819,162249,206986
Pattani,ปัตตานี,10737,9759,9702,11837,12547,11840,13511,16122,20199,17513,51415,46522,46145,91978,82046,80120,82370,83777,109103,141540
Yala,ยะลา,7560,9932,10018,11886,14354,13698,19619,21859,22483,15584,32882,59177,56566,54635,55672,56369,18902,60167,35829,22272
Narathiwat,นราธิวาส,6281,7802,7603,9240,11586,13148,11244,16834,16773,19890,25071,15087,34023,39297,57235,36368,26246,40943,44974,40567
